종목코드,순위,종목명,시가총액(억원),종가,거래량_최근,MA5,MA20,MA비율(단기/장기)
002840,300,미원상사,7248,152600,5482,5247,4665,1.125
293940,301,신한알파리츠,7195,5950,201440,297325,263622,1.128
383800,302,LX홀딩스,7193,9430,486200,310883,252471,1.231
0120G0,303,삼양바이오팜,7101,95500,165792,170340,185475,0.918
950210,304,프레스티지바이오파마,7067,11760,133462,137877,154776,0.891
268280,305,미원에스씨,7030,140600,2789,2758,2989,0.923
058650,306,세아홀딩스,6965,161500,7249,8662,5729,1.512
008730,307,율촌화학,6956,28050,65018,64535,83021,0.777
093050,308,LF,6812,23300,115451,98207,83953,1.17
090460,309,비에이치,6776,20100,235182,740445,541489,1.367
005090,310,SGC에너지,6642,46100,174061,284508,167112,1.702
019170,311,신풍제약,6623,12500,160341,136081,177327,0.767
005420,312,코스모화학,6548,17050,169935,258896,365027,0.709
002240,313,고려제강,6547,24250,42531,34554,42089,0.821
336370,314,솔루스첨단소재,6438,9170,331749,441887,541330,0.816
004690,315,삼천리,6398,157800,15898,20616,21881,0.942
006220,316,제주은행,6357,16820,11510448,3133616,2894315,1.083
003030,317,세아제강지주,6340,153100,38680,32749,30384,1.078
001570,318,금양,6332,9900,0,0,0,
016380,319,KG스틸,6240,6240,641389,404039,413899,0.976
006380,320,카프로,6185,3660,0,0,0,
005389,321,현대차3우B,6179,265500,21603,23247,44339,0.524
002960,322,한국쉘석유,6136,472000,2576,2905,2304,1.261
094800,323,맵스리얼티,6052,6520,231338,177738,142042,1.251
016590,324,신대양제지,6020,14940,111695,205275,116800,1.757
002030,325,아세아,5979,288500,2477,2488,3179,0.783
377740,326,바이오노트,5970,5850,94460,105710,135329,0.781
005810,327,풍산홀딩스,5925,41100,59713,40601,36071,1.126
284740,328,쿠쿠홈시스,5901,26300,25992,26919,23010,1.17
178920,329,PI첨단소재,5873,20000,213091,228383,376764,0.606
029530,330,신도리코,5866,58200,33726,25012,57420,0.436
192650,331,드림텍,5757,8350,425794,839460,743597,1.129
090435,332,아모레퍼시픽우,5754,54500,18463,26646,39923,0.667
001200,333,유진투자증권,5753,5940,13527204,10722367,4737387,2.263
452260,334,한화갤러리아,5680,2930,57359021,31573303,21259543,1.485
000070,335,삼양홀딩스,5558,71600,25743,44120,30465,1.448
105840,336,우진,5513,27300,5871072,2291380,1468535,1.56
145720,337,덴티움,5512,49800,25112,37767,44474,0.849
034310,338,NICE,5476,14900,61461,78169,71677,1.091
005945,339,NH투자증권우,5472,29000,321004,179817,112309,1.601
014830,340,유니드,5468,80800,33510,26152,55399,0.472
271940,341,일진하이솔루스,5439,14980,74580,61600,64007,0.962
003000,342,부광약품,5406,5480,4245367,3550126,1565069,2.268
145990,343,삼양사,5404,52400,45529,32834,23391,1.404
453340,344,현대그린푸드,5382,16400,49185,63037,78208,0.806
161000,345,애경케미칼,5283,10860,736166,418952,661843,0.633
009410,346,태영건설,5279,1774,777784,751768,591321,1.271
003300,347,한일홀딩스,5241,17000,15468,15019,23747,0.632
026890,348,스틱인베스트먼트,5180,12430,253614,122080,147660,0.827
105630,349,한세실업,5180,12950,232358,214070,272012,0.787
009290,350,광동제약,5179,10400,20349484,5026036,1380730,3.64
017810,351,풀무원,5119,13430,95340,73609,85197,0.864
183190,352,아세아시멘트,5007,13560,71832,63448,101878,0.623
009900,353,명신산업,4984,9500,274917,209587,231293,0.906
097520,354,엠씨넥스,4950,28450,36795,44182,71937,0.614
089590,355,제주항공,4919,6100,490816,511267,468260,1.092
001530,356,DI동일,4892,24800,88353,132248,97135,1.361
004700,357,조광피혁,4887,73500,7631,15493,9958,1.556
170900,358,동아에스티,4882,52200,18664,25528,27922,0.914
016800,359,퍼시스,4841,42100,814,1291,1754,0.736
006110,360,삼아알미늄,4839,32000,147244,93238,194351,0.48
344820,361,KCC글라스,4839,30300,83914,68038,53061,1.282
015360,362,INVENI,4805,84300,24996,19364,19729,0.981
448730,363,삼성FN리츠,4780,5250,100715,105234,112588,0.935
011930,364,신성이엔지,4775,2320,31861487,11342241,14345323,0.791
020000,365,한섬,4723,21050,104192,198047,250906,0.789
037270,366,YG PLUS,4679,7350,853462,2077629,1432210,1.451
003280,367,흥아해운,4659,1938,53984883,15315591,7750613,1.976
072710,368,농심홀딩스,4637,100000,23454,19009,15345,1.239
084010,369,대한제강,4592,13360,108795,97971,152287,0.643
001820,370,삼화콘덴서,4558,43850,340532,444107,210577,2.109
091810,371,티웨이항공,4529,1348,1638112,944892,875618,1.079
200880,372,서연이화,4511,16690,731724,387406,406000,0.954
460860,373,동국제강,4494,9060,435381,214611,292417,0.734
015860,374,일진홀딩스,4441,9000,596801,381031,244016,1.562
357120,375,코람코라이프인프라리츠,4433,4555,153843,125369,133894,0.936
010690,376,화신,4431,12690,3541212,2672608,1026803,2.603
138490,377,코오롱ENP,4419,11630,88002,129371,209737,0.617
009155,378,삼성전기우,4418,152000,51277,45185,40288,1.122
005610,379,SPC삼립,4409,51100,9574,6618,9808,0.675
000157,380,두산2우B,4384,491000,6035,2897,1901,1.524
031430,381,신세계인터내셔날,4333,12260,133452,181534,161254,1.126
060980,382,HL홀딩스,4311,46800,28229,27084,34867,0.777
004310,383,현대약품,4278,13370,2257650,7585344,4634035,1.637
002310,384,아세아제지,4258,10520,574605,964674,571454,1.688
029460,385,케이씨,4247,32100,42762,36038,58372,0.617
002710,386,TCC스틸,4207,16050,129611,131296,258897,0.507
027410,387,BGF,4173,4360,277408,278420,190353,1.463
126720,388,수산인더스트리,4171,29200,273687,119163,102304,1.165
018250,389,애경산업,4156,15740,715127,187768,81102,2.315
194370,390,제이에스코퍼레이션,4137,14260,450278,189679,214537,0.884
000650,391,천일고속,4030,282000,7321,9795,58958,0.166
002810,392,삼영무역,4016,21750,40444,58011,77357,0.75
217590,393,티엠씨,4011,16650,945502,592289,477936,1.239
348950,394,제이알글로벌리츠,4006,2030,1435490,2604180,1686307,1.544
128820,395,대성산업,4003,8850,2606776,1221826,4430776,0.276
001390,396,KG케미칼,4000,5950,388056,348600,508251,0.686
306200,397,세아제강,3993,140800,51559,17092,16398,1.042
005720,398,넥센,3989,7450,82602,58486,70797,0.826
403550,399,쏘카,3944,12010,8761,15219,10444,1.457
008060,400,대덕,3910,11540,88902,78508,123447,0.636
012030,401,DB,3902,1940,26753328,6271897,3152981,1.989
092200,402,디아이씨,3900,10030,685378,767013,1339574,0.573
126560,403,현대퓨처넷,3895,3535,161222,504875,218428,2.311
011500,404,한농화성,3854,24650,608643,611564,1189443,0.514
084690,405,대상홀딩스,3798,10490,137784,195225,147727,1.322
006805,406,미래에셋증권우,3786,26900,1851876,1379724,1263309,1.092
025860,407,남해화학,3775,7600,348233,306047,290460,1.054
011760,408,현대코퍼레이션,3757,28400,132252,109260,95561,1.143
272450,409,진에어,3721,7130,160894,190965,234135,0.816
000540,410,흥국화재,3700,5760,3536273,1115471,397844,2.804
092230,411,KPX홀딩스,3692,87400,8998,7475,3886,1.924
034830,412,한국토지신탁,3678,1457,2193527,1382065,744481,1.856
286940,413,롯데이노베이트,3661,24200,63353,80662,63634,1.268
007690,414,국도화학,3658,39500,8917,16705,23089,0.724
123890,415,한국자산신탁,3640,2975,900745,953517,513516,1.857
001460,416,BYC,3622,58000,41125,58785,32220,1.824
001940,417,KISCO홀딩스,3579,25250,8849,11595,17829,0.65
417310,418,코람코더원리츠,3563,8820,104599,101340,112220,0.903
024720,419,콜마홀딩스,3556,10370,99540,83288,89917,0.926
003520,420,영진약품,3540,1936,472284,409068,465620,0.879
475560,421,더본코리아,3536,23850,20443,21246,23029,0.923
003960,422,사조대림,3523,38450,6348,14436,13895,1.039
003120,423,일성아이에스,3504,26350,25216,30204,23130,1.306
034120,424,SBS,3500,18870,24818,37834,41064,0.921
001750,425,한양증권,3493,27450,121149,121317,70161,1.729
000320,426,노루홀딩스,3488,26250,63748,68204,63827,1.069
017390,427,서울가스,3485,69700,39409,15399,13563,1.135
104700,428,한국철강,3444,9450,23791,21441,43312,0.495
009160,429,SIMPAC,3425,5240,59257,78042,127231,0.613
017860,430,DS단석,3400,19340,123117,73346,101553,0.722
006405,431,삼성SDI우,3389,209500,13046,9945,19334,0.514
033270,432,유나이티드제약,3381,20700,54026,36392,36171,1.006
432320,433,KB스타리츠,3377,3330,101562,184542,149989,1.23
002320,434,한진,3344,21950,51889,140971,85786,1.643
092790,435,넥스틸,3320,12770,1369744,488477,630979,0.774
003200,436,일신방직,3287,14320,32983,45839,114221,0.401
000490,437,대동,3280,11380,586695,1550109,1779367,0.871
